,ORDERNUMBER,CUSTOMERNAME,ADDRESSLINE1,POSTALCODE,STATUS
0,10107,Land of Toys Inc.,897 Long Airport Avenue,10022,Shipped
1,10121,Reims Collectables,59 rue de l'Abbaye,51100,Shipped
2,10134,Lyon Souveniers,27 rue du Colonel Pierre Avia,75508,Shipped
3,10145,Toys4GrownUps.com,78934 Hillside Dr.,90003,Shipped
4,10159,Corporate Gift Ideas Co.,7734 Strong St.,,Shipped
5,10168,Technics Stores Inc.,9408 Furth Circle,94217,Shipped
6,10180,Daedalus Designs Imports,"184, chausse de Tournai",59000,Shipped
7,10188,Herkku Gifts,"Drammen 121, PR 744 Sentrum",N 5804,Shipped
8,10201,Mini Wheels Co.,5557 North Pendale Street,,Shipped
9,10211,Auto Canal Petit,"25, rue Lauriston",75016,Shipped
10,10223,"Australian Collectors, Co.",636 St Kilda Road,3004,Shipped
11,10237,Vitachrome Inc.,2678 Kingston Rd.,10022,Shipped
12,10251,Tekni Collectables Inc.,7476 Moss Rd.,94019,Shipped
13,10263,Gift Depot Inc.,25593 South Bay Ln.,97562,Shipped
14,10275,La Rochelle Gifts,"67, rue des Cinquante Otages",44000,Shipped
15,10285,Marta's Replicas Co.,39323 Spinnaker Dr.,51247,Shipped
16,10299,"Toys of Finland, Co.",Keskuskatu 45,21240,Shipped
17,10309,Baane Mini Imports,Erling Skakkes gate 78,4110,Shipped
18,10318,Diecast Classics Inc.,7586 Pompton St.,70267,Shipped
19,10329,Land of Toys Inc.,897 Long Airport Avenue,10022,Shipped
20,10341,Salzburg Collectables,Geislweg 14,5020,Shipped
21,10361,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",2067,Shipped
22,10375,La Rochelle Gifts,"67, rue des Cinquante Otages",44000,Shipped
23,10388,FunGiftIdeas.com,1785 First Street,50553,Shipped
24,10403,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,WX1 6LT,Shipped
25,10417,Euro Shopping Channel,"C/ Moralzarzal, 86",28034,Disputed
26,10103,Baane Mini Imports,Erling Skakkes gate 78,4110,Shipped
27,10112,"Volvo Model Replicas, Co",Berguvsvï¿½gen  8,S-958 22,Shipped
28,10126,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",28023,Shipped
29,10140,Technics Stores Inc.,9408 Furth Circle,94217,Shipped
30,10150,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",79903,Shipped
31,10163,Classic Legends Inc.,5905 Pompton St.,10022,Shipped
32,10174,"Australian Gift Network, Co",31 Duncan St. West End,4101,Shipped
33,10183,"Classic Gift Ideas, Inc",782 First Street,71270,Shipped
34,10194,"Saveley & Henriot, Co.","2, rue du Commerce",69004,Shipped
35,10206,Canadian Gift Exchange Network,1900 Oak St.,V3F 2K1,Shipped
36,10215,West Coast Collectables Co.,3675 Furth Circle,94019,Shipped
37,10228,Cambridge Collectables Co.,4658 Baden Av.,51247,Shipped
38,10245,Super Scale Inc.,567 North Pendale Street,97823,Shipped
39,10258,"Tokyo Collectables, Ltd",2-2-8 Roppongi,106-0032,Shipped
40,10270,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",2067,Shipped
41,10280,Amica Models & Co.,Via Monte Bianco 34,10100,Shipped
42,10291,Scandinavian Gift Ideas,?kergatan 24,S-844 67,Shipped
43,10304,Auto Assoc. & Cie.,"67, avenue de l'Europe",78000,Shipped
44,10312,Mini Gifts Distributors Ltd.,5677 Strong St.,97562,Shipped
45,10322,Online Diecast Creations Co.,2304 Long Airport Avenue,62005,Shipped
46,10333,Mini Wheels Co.,5557 North Pendale Street,,Shipped
47,10347,"Australian Collectors, Co.",636 St Kilda Road,3004,Shipped
48,10357,Mini Gifts Distributors Ltd.,5677 Strong St.,97562,Shipped
49,10369,Collectables For Less Inc.,7825 Douglas Av.,58339,Shipped
50,10381,Corporate Gift Ideas Co.,7734 Strong St.,,Shipped
