"","ï..sepal.length","sepal.width","petal.length","petal.width","variety"
"1",5.1,3.5,1.4,0.2,"Setosa"
"2",4.9,3,1.4,0.2,"Setosa"
"3",4.7,3.2,1.3,0.2,"Setosa"
"4",4.6,3.1,1.5,0.2,"Setosa"
"5",5,3.6,1.4,0.2,"Setosa"
"6",5.4,3.9,1.7,0.4,"Setosa"
"7",4.6,3.4,1.4,0.3,"Setosa"
"8",5,3.4,1.5,0.2,"Setosa"
"9",4.4,2.9,1.4,0.2,"Setosa"
"10",4.9,3.1,1.5,0.1,"Setosa"
"11",5.4,3.7,1.5,0.2,"Setosa"
"12",4.8,3.4,1.6,0.2,"Setosa"
"13",4.8,3,1.4,0.1,"Setosa"
"14",4.3,3,1.1,0.1,"Setosa"
"15",5.8,4,1.2,0.2,"Setosa"
"16",5.7,4.4,1.5,0.4,"Setosa"
"17",5.4,3.9,1.3,0.4,"Setosa"
"18",5.1,3.5,1.4,0.3,"Setosa"
"19",5.7,3.8,1.7,0.3,"Setosa"
"20",5.1,3.8,1.5,0.3,"Setosa"
"21",5.4,3.4,1.7,0.2,"Setosa"
"22",5.1,3.7,1.5,0.4,"Setosa"
"23",4.6,3.6,1,0.2,"Setosa"
"24",5.1,3.3,1.7,0.5,"Setosa"
"25",4.8,3.4,1.9,0.2,"Setosa"
"26",5,3,1.6,0.2,"Setosa"
"27",5,3.4,1.6,0.4,"Setosa"
"28",5.2,3.5,1.5,0.2,"Setosa"
"29",5.2,3.4,1.4,0.2,"Setosa"
"30",4.7,3.2,1.6,0.2,"Setosa"
"31",4.8,3.1,1.6,0.2,"Setosa"
"32",5.4,3.4,1.5,0.4,"Setosa"
"33",5.2,4.1,1.5,0.1,"Setosa"
"34",5.5,4.2,1.4,0.2,"Setosa"
"35",4.9,3.1,1.5,0.2,"Setosa"
"36",5,3.2,1.2,0.2,"Setosa"
"37",5.5,3.5,1.3,0.2,"Setosa"
"38",4.9,3.6,1.4,0.1,"Setosa"
"39",4.4,3,1.3,0.2,"Setosa"
"40",5.1,3.4,1.5,0.2,"Setosa"
"41",5,3.5,1.3,0.3,"Setosa"
"42",4.5,2.3,1.3,0.3,"Setosa"
"43",4.4,3.2,1.3,0.2,"Setosa"
"44",5,3.5,1.6,0.6,"Setosa"
"45",5.1,3.8,1.9,0.4,"Setosa"
"46",4.8,3,1.4,0.3,"Setosa"
"47",5.1,3.8,1.6,0.2,"Setosa"
"48",4.6,3.2,1.4,0.2,"Setosa"
"49",5.3,3.7,1.5,0.2,"Setosa"
"50",5,3.3,1.4,0.2,"Setosa"
